seq:ID,code,name
910,300119,瑞普生物
911,300120,经纬电材
912,300121,阳谷华泰
913,300122,智飞生物
914,300123,太阳鸟
915,300124,汇川技术
916,300157,恒泰艾普
917,300265,通光线缆
918,300268,佳沃股份
919,300302,同有科技
920,300309,吉艾科技
921,300352,北信源
922,300353,东土科技
923,300354,东华测试
924,300355,蒙草生态
925,600185,格力地产
926,600325,华发股份
927,600428,中远海特
928,600685,中船防务
929,600894,广日股份
930,6,深振业Ａ
931,11,深物业A
932,14,沙河股份
933,20,深华发Ａ
934,23,深天地Ａ
935,29,深深房Ａ
936,36,华联控股
937,39,中集集团
938,42,中洲控股
939,55,方大集团
940,62,深圳华强
941,90,天健集团
942,429,粤高速Ａ
943,507,珠海港
944,513,丽珠集团
945,523,广州浪奇
946,529,广弘控股
947,532,华金资本
948,601,韶能股份
949,659,*ST中富
950,893,东凌国际
951,2005,德豪润达
952,2016,世荣兆业
953,2017,东信和平
954,2060,粤 水 电
955,2063,远光软件
956,2180,纳思达
957,2187,广百股份
958,2192,融捷股份
959,2233,塔牌集团
960,2461,珠江啤酒
961,600008,首创股份
962,600098,广州发展
963,600116,三峡水利
964,600133,东湖高新
965,600247,ST成城
966,600292,远达环保
967,600323,瀚蓝环境
968,600459,贵研铂业
969,600475,华光股份
970,600531,豫光金铅
971,600545,卓郎智能
972,600649,城投控股
973,600724,宁波富达
974,600726,华电能源
975,600835,上海机电
976,600864,哈投股份
977,601992,金隅股份
978,603568,伟明环保
979,603588,高能环境
980,5,世纪星源
981,27,深圳能源
982,407,胜利股份
983,425,徐工机械
984,532,华金资本
985,546,金圆股份
986,652,泰达股份
987,826,启迪桑德
988,900,现代投资
989,939,凯迪生态
990,2015,霞客环保
991,2255,海陆重工
992,2340,格林美
993,2442,龙星化工
994,2479,富春环保
995,2616,长青集团
996,2645,华宏科技
997,2663,普邦股份
998,2672,东江环保
999,300090,盛运环保
1000,300172,中电环保
1001,300190,维尔利
1002,300385,雪浪环境
1003,600027,华电国际
1004,600085,同仁堂
1005,600096,云天化
1006,600100,同方股份
1007,600138,中青旅
1008,600169,太原重工
1009,600196,复星医药
1010,600258,首旅酒店
1011,600266,北京城建
1012,600288,大恒科技
1013,600330,天通股份
1014,600352,浙江龙盛
1015,600525,长园集团
1016,600572,康恩贝
1017,600596,新安股份
1018,600635,大众公用
1019,600718,东软集团
1020,600739,辽宁成大
1021,600770,综艺股份
1022,600790,轻纺城
1023,600795,国电电力
1024,600797,浙大网新
1025,600812,华北制药
1026,600826,兰生股份
1027,600867,通化东宝
1028,600880,博瑞传播
1029,600884,杉杉股份
1030,600895,张江高科
1031,600900,长江电力
1032,601991,大唐发电
1033,9,中国宝安
1034,21,深科技
1035,39,中集集团
1036,40,东旭蓝天
1037,62,深圳华强
1038,63,中兴通讯
1039,301,东方市场
1040,428,华天酒店
1041,503,海虹控股
1042,551,创元科技
1043,652,泰达股份
1044,661,长春高新
1045,676,智度股份
1046,682,东方电子
1047,701,厦门信达
1048,839,中信国安
1049,915,山大华特
1050,917,电广传媒
1051,931,中 关 村
1052,938,紫光股份
1053,988,华工科技
1054,990,诚志股份
1055,2008,大族激光
1056,2010,传化智联
1057,2038,双鹭药业
1058,2054,德美化工
1059,2091,江苏国泰
1060,2101,广东鸿图
1061,2123,梦网集团
1062,600075,新疆天业
1063,600143,金发科技
1064,600354,敦煌种业
1065,600371,万向德农
1066,600803,新奥股份
1067,713,丰乐种业
1068,860,顺鑫农业
1069,902,新洋丰
1070,998,隆平高科
1071,2041,登海种业
1072,2157,正邦科技
1073,2170,芭田股份
1074,2215,诺 普 信
1075,2263,大 东 南
1076,2385,大北农
1077,2470,金正大
1078,2539,云图控股
1079,2588,史丹利
1080,300087,荃银高科
1081,300106,西部牧业
1082,300189,神农基因
1083,300387,富邦股份
1084,600908,无锡银行
1085,600909,华安证券
1086,600919,江苏银行
1087,600926,杭州银行
1088,600936,广西广电
1089,600977,中国电影
1090,600996,贵广网络
1091,601020,华钰矿业
1092,601127,小康股份
1093,601128,常熟银行
1094,601163,三角轮胎
1095,601229,上海银行
1096,601500,通用股份
1097,601595,上海电影
1098,601611,中国核建
1099,601811,新华文轩
1100,601882,海天精工
1101,601900,南方传媒
1102,601966,玲珑轮胎
1103,601997,贵阳银行
1104,603007,花王股份
1105,603016,新宏泰
1106,603027,千禾味业
1107,603028,赛福天
1108,603029,天鹅股份
1109,603031,安德利
1110,603033,三维股份
1111,603036,如通股份
1112,603058,永吉股份
1113,603060,国检集团
1114,603067,振华股份
1115,603069,海汽集团
1116,603090,宏盛股份
1117,603098,森特股份
1118,603101,汇嘉时代
1119,603131,上海沪工
1120,603159,上海亚虹
1121,603160,汇顶科技
1122,603189,网达软件
1123,603203,快克股份
1124,603258,电魂网络
1125,603299,井神股份
1126,603313,梦百合
1127,603319,湘油泵
1128,603322,超讯通信
1129,603323,吴江银行
1130,603336,宏辉果蔬
1131,603339,四方冷链
1132,603377,东方时尚
1133,603389,亚振家居
1134,603393,新天然气
1135,603416,信捷电气
1136,603421,鼎信通讯
1137,603515,欧普照明
1138,603520,司太立
1139,603528,多伦科技
1140,603556,海兴电力
1141,603559,中通国脉
1142,603569,长久物流
1143,603577,汇金通
1144,603585,苏利股份
1145,603608,天创时尚
1146,603633,徕木股份
1147,603658,安图生物
1148,603660,苏州科达
1149,603663,三祥新材
1150,603667,五洲新春
1151,603701,德宏股份
1152,603708,家家悦
1153,603716,塞力斯
1154,603726,朗迪集团
1155,603727,博迈科
1156,603737,三棵树
1157,603738,泰晶科技
1158,603777,来伊份
1159,603778,乾景园林
1160,603779,威龙股份
1161,603798,康普顿
1162,603816,顾家家居
1163,603819,神力股份
1164,603822,嘉澳环保
1165,603823,百合花
1166,603843,正平股份
1167,603858,步长制药
1168,603859,能科股份
1169,603861,白云电器
1170,603868,飞科电器
1171,603878,武进不锈
1172,603887,城地股份
1173,603888,新华网
1174,603900,莱绅通灵
1175,603909,合诚股份
1176,603919,金徽酒
1177,603928,兴业股份
1178,603958,哈森股份
1179,603959,百利科技
1180,603977,国泰集团
1181,603986,兆易创新
1182,603987,康德莱
1183,603990,麦迪科技
1184,1979,招商蛇口
1185,2777,久远银海
1186,2778,高科石化
1187,2787,华源控股
1188,2788,鹭燕医药
1189,2789,建艺集团
1190,2790,瑞尔特
1191,2791,坚朗五金
1192,2792,通宇通讯
1193,2793,东音股份
1194,2795,永和智控
1195,2796,世嘉科技
1196,2797,第一创业
1197,2798,帝王洁具
1198,2799,环球印务
1199,2800,天顺股份
1200,2801,微光股份
1201,2802,洪汇新材
1202,2803,吉宏股份
1203,2805,丰元股份
1204,2806,华锋股份
1205,2807,江阴银行
1206,2808,苏州恒久
1207,2809,红墙股份
1208,2810,山东赫达
1209,2811,亚泰国际
1210,2812,创新股份
1211,2813,路畅科技
1212,2815,崇达技术
1213,2816,和科达
1214,2817,黄山胶囊
1215,2818,富森美
1216,2819,东方中科
1217,2820,桂发祥
